Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P21300|ALD1_MOUSE	P21300	ALD1_MOUSE	Akr1b7	316	Mus musculus	Aldo-keto reductase family 1 member B7	1:Experimental evidence at protein level	6.01	1.0000	0.9989	2	0	2	6	0	6	     0	     0	     0	1M(15.9949), N-term(42.0106)		sp|P45377|ALD2_MOUSE
sp|P21550|ENOB_MOUSE	P21550	ENOB_MOUSE	Eno3	434	Mus musculus	Beta-enolase	1:Experimental evidence at protein level	15.67	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
sp|P21614|VTDB_MOUSE	P21614	VTDB_MOUSE	Gc	476	Mus musculus	Vitamin D-binding protein	1:Experimental evidence at protein level	5.88	1.0000	0.9962	3	3	3	5	5	5	     0	     0	     0			
sp|P21981|TGM2_MOUSE	P21981	TGM2_MOUSE	Tgm2	686	Mus musculus	Protein-glutamine gamma-glutamyltransferase 2	1:Experimental evidence at protein level	7.87	1.0000	0.9990	7	7	7	33	33	33	     0	     0	     0	11M(15.9949), 7M(15.9949)		
sp|P24369|PPIB_MOUSE	P24369	PPIB_MOUSE	Ppib	216	Mus musculus	Peptidyl-prolyl cis-trans isomerase B	1:Experimental evidence at protein level	17.59	1.0000	0.9990	3	3	3	8	8	8	     0	     0	     0	5M(15.9949), 6M(15.9949)		
sp|P24452|CAPG_MOUSE	P24452	CAPG_MOUSE	Capg	352	Mus musculus	Macrophage-capping protein	1:Experimental evidence at protein level	9.09	1.0000	0.9990	3	3	3	12	12	12	     0	     0	     0	8M(15.9949)		
sp|P24472|GSTA4_MOUSE	P24472	GSTA4_MOUSE	Gsta4	222	Mus musculus	Glutathione S-transferase A4	1:Experimental evidence at protein level	21.17	1.0000	0.9990	6	5	6	33	27	33	     0	     0	     0			
sp|P24527|LKHA4_MOUSE	P24527	LKHA4_MOUSE	Lta4h	611	Mus musculus	Leukotriene A-4 hydrolase	1:Experimental evidence at protein level	6.87	1.0000	0.9990	3	3	3	36	36	36	     0	     0	     0	3M(15.9949), 9M(15.9949)		
sp|P25444|RS2_MOUSE	P25444	RS2_MOUSE	Rps2	293	Mus musculus	Small ribosomal subunit protein uS5	1:Experimental evidence at protein level	13.65	1.0000	0.9990	3	3	3	23	23	23	     0	     0	     0			
sp|P26039|TLN1_MOUSE	P26039	TLN1_MOUSE	Tln1	2541	Mus musculus	Talin-1	1:Experimental evidence at protein level	14.95	1.0000	0.9990	35	32	35	147	135	147	     0	     0	     0	12M(15.9949), 14M(15.9949), 15M(15.9949), 1M(15.9949), 26M(15.9949), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5M(15.9949), 6M(15.9949)		
sp|P26041|MOES_MOUSE	P26041	MOES_MOUSE	Msn	577	Mus musculus	Moesin	1:Experimental evidence at protein level	22.53	1.0000	0.9990	14	10	14	67	50	67	     0	     0	     0	11M(15.9949), 12M(15.9949), 5M(15.9949), 6M(15.9949), 9M(15.9949)		
sp|P26043|RADI_MOUSE	P26043	RADI_MOUSE	Rdx	583	Mus musculus	Radixin	1:Experimental evidence at protein level	9.43	1.0000	0.9988	5	2	2	18	2	2	     0	     0	     0			
sp|P26645|MARCS_MOUSE	P26645	MARCS_MOUSE	Marcks	309	Mus musculus	Myristoylated alanine-rich C-kinase substrate	1:Experimental evidence at protein level	23.30	1.0000	0.9990	4	4	4	11	11	11	     0	     0	     0			
sp|P27546|MAP4_MOUSE	P27546	MAP4_MOUSE	Map4	1125	Mus musculus	Microtubule-associated protein 4	1:Experimental evidence at protein level	21.51	1.0000	0.9990	20	20	20	44	44	44	     0	     0	     0	4M(15.9949), 5M(15.9949)		
sp|P27659|RL3_MOUSE	P27659	RL3_MOUSE	Rpl3	403	Mus musculus	Large ribosomal subunit protein uL3	1:Experimental evidence at protein level	12.90	1.0000	0.9990	5	4	5	32	29	32	     0	     0	     0			
sp|P27773|PDIA3_MOUSE	P27773	PDIA3_MOUSE	Pdia3	505	Mus musculus	Protein disulfide-isomerase A3	1:Experimental evidence at protein level	22.18	1.0000	0.9990	11	11	11	41	41	41	     0	     0	     0			
sp|P28481|CO2A1_MOUSE	P28481	CO2A1_MOUSE	Col2a1	1487	Mus musculus	Collagen alpha-1(II) chain	1:Experimental evidence at protein level	9.01	1.0000	0.9947	5	5	5	33	33	33	     0	     0	     0	24M(15.9949), 9M(15.9949)		
sp|P28653|PGS1_MOUSE	P28653	PGS1_MOUSE	Bgn	369	Mus musculus	Biglycan	1:Experimental evidence at protein level	14.63	1.0000	0.9989	5	5	5	23	23	23	     0	     0	     0			
sp|P28654|PGS2_MOUSE	P28654	PGS2_MOUSE	Dcn	354	Mus musculus	Decorin	1:Experimental evidence at protein level	21.47	1.0000	0.9990	8	8	8	33	33	33	     0	     0	     0	6M(15.9949)		
sp|P28667|MRP_MOUSE	P28667	MRP_MOUSE	Marcksl1	200	Mus musculus	MARCKS-related protein	1:Experimental evidence at protein level	14.00	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
sp|P29341|PABP1_MOUSE	P29341	PABP1_MOUSE	Pabpc1	636	Mus musculus	Polyadenylate-binding protein 1	1:Experimental evidence at protein level	12.58	1.0000	0.9990	8	8	8	36	36	36	     0	     0	     0	2M(15.9949), 3M(15.9949), 5M(15.9949), 9M(15.9949)		
sp|P31001|DESM_MOUSE	P31001	DESM_MOUSE	Des	469	Mus musculus	Desmin	1:Experimental evidence at protein level	60.13	1.0000	0.9990	36	33	35	358	320	355	     0	     0	     0	12M(15.9949), 3M(15.9949), 4M(15.9949), 7M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|P32067|LA_MOUSE	P32067	LA_MOUSE	Ssb	415	Mus musculus	Lupus La protein homolog	1:Experimental evidence at protein level	4.10	1.0000	0.9981	2	2	2	6	6	6	     0	     0	     0			
sp|P32261|ANT3_MOUSE	P32261	ANT3_MOUSE	Serpinc1	465	Mus musculus	Antithrombin-III	1:Experimental evidence at protein level	5.16	1.0000	0.9990	2	1	2	14	3	14	     0	     0	     0			
sp|P34022|RANG_MOUSE	P34022	RANG_MOUSE	Ranbp1	203	Mus musculus	Ran-specific GTPase-activating protein	1:Experimental evidence at protein level	14.78	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	14C(57.0214)		
sp|P34884|MIF_MOUSE	P34884	MIF_MOUSE	Mif	115	Mus musculus	Macrophage migration inhibitory factor	1:Experimental evidence at protein level	15.65	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	2M(15.9949)		
sp|P35564|CALX_MOUSE	P35564	CALX_MOUSE	Canx	591	Mus musculus	Calnexin	1:Experimental evidence at protein level	12.01	1.0000	0.9990	5	5	5	107	107	107	     0	     0	     0	10M(15.9949), 26C(57.0214)		
sp|P35700|PRDX1_MOUSE	P35700	PRDX1_MOUSE	Prdx1	199	Mus musculus	Peroxiredoxin-1	1:Experimental evidence at protein level	28.14	1.0000	0.9990	6	3	6	152	16	152	     0	     0	     0	5M(15.9949), 8M(15.9949)		
sp|P35979|RL12_MOUSE	P35979	RL12_MOUSE	Rpl12	165	Mus musculus	Large ribosomal subunit protein uL11	1:Experimental evidence at protein level	14.55	1.0000	0.9990	2	2	2	22	22	22	     0	     0	     0			
sp|P35980|RL18_MOUSE	P35980	RL18_MOUSE	Rpl18	188	Mus musculus	Large ribosomal subunit protein eL18	1:Experimental evidence at protein level	10.11	1.0000	0.9987	2	2	2	5	5	5	     0	     0	     0			
sp|P37040|NCPR_MOUSE	P37040	NCPR_MOUSE	Por	678	Mus musculus	NADPH--cytochrome P450 reductase	1:Experimental evidence at protein level	2.80	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0	5M(15.9949)		
sp|P37804|TAGL_MOUSE	P37804	TAGL_MOUSE	Tagln	201	Mus musculus	Transgelin	1:Experimental evidence at protein level	77.11	1.0000	0.9990	23	22	23	974	961	974	     0	     0	     0	13M(15.9949), 15M(15.9949), 18M(15.9949), 19M(15.9949), 2M(15.9949), 3M(15.9949), 6M(15.9949), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|P37889|FBLN2_MOUSE	P37889	FBLN2_MOUSE	Fbln2	1221	Mus musculus	Fibulin-2	1:Experimental evidence at protein level	2.95	1.0000	0.9990	3	3	3	6	6	6	     0	     0	     0	3M(15.9949)		
sp|P38647|GRP75_MOUSE	P38647	GRP75_MOUSE	Hspa9	679	Mus musculus	Stress-70 protein, mitochondrial	1:Experimental evidence at protein level	10.01	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	20M(15.9949), 3C(57.0214)		
sp|P40124|CAP1_MOUSE	P40124	CAP1_MOUSE	Cap1	474	Mus musculus	Adenylyl cyclase-associated protein 1	1:Experimental evidence at protein level	11.39	1.0000	0.9990	5	4	5	29	26	29	     0	     0	     0	3M(15.9949), N-term(42.0106)		
sp|P40142|TKT_MOUSE	P40142	TKT_MOUSE	Tkt	623	Mus musculus	Transketolase	1:Experimental evidence at protein level	20.39	1.0000	0.9990	12	12	12	54	54	54	     0	     0	     0	1M(15.9949), N-term(42.0106)		
sp|P41105|RL28_MOUSE	P41105	RL28_MOUSE	Rpl28	137	Mus musculus	Large ribosomal subunit protein eL28	1:Experimental evidence at protein level	40.15	1.0000	0.9990	6	6	6	37	37	37	     0	     0	     0	17M(15.9949)		
sp|P43274|H14_MOUSE	P43274	H14_MOUSE	H1-4	219	Mus musculus	Histone H1.4	1:Experimental evidence at protein level	42.47	1.0000	0.9990	13	4	7	140	88	99	     0	     0	     0	N-term(42.0106)		
sp|P43275|H11_MOUSE	P43275	H11_MOUSE	H1-1	213	Mus musculus	Histone H1.1	1:Experimental evidence at protein level	20.19	1.0000	0.9990	5	2	2	23	2	2	     0	     0	     0	N-term(42.0106)		
sp|P43276|H15_MOUSE	P43276	H15_MOUSE	H1-5	223	Mus musculus	Histone H1.5	1:Experimental evidence at protein level	28.25	1.0000	0.9990	10	6	6	49	35	35	     0	     0	     0			
sp|P45376|ALDR_MOUSE	P45376	ALDR_MOUSE	Akr1b1	316	Mus musculus	Aldo-keto reductase family 1 member B1	1:Experimental evidence at protein level	15.82	1.0000	0.9990	6	6	6	110	110	110	     0	     0	     0	12M(15.9949), 1M(15.9949), N-term(42.0106)		
sp|P46935|NEDD4_MOUSE	P46935	NEDD4_MOUSE	Nedd4	887	Mus musculus	E3 ubiquitin-protein ligase NEDD4	1:Experimental evidence at protein level	4.74	1.0000	0.9985	3	3	3	5	5	5	     0	     0	     0	9M(15.9949)		
sp|P47226|TES_MOUSE	P47226	TES_MOUSE	Tes	423	Mus musculus	Testin	1:Experimental evidence at protein level	11.58	1.0000	0.9990	5	5	5	9	9	9	     0	     0	     0	3M(15.9949)		
sp|P47738|ALDH2_MOUSE	P47738	ALDH2_MOUSE	Aldh2	519	Mus musculus	Aldehyde dehydrogenase, mitochondrial	1:Experimental evidence at protein level	3.85	1.0000	0.9987	2	2	2	7	7	7	     0	     0	     0			
sp|P47739|AL3A1_MOUSE	P47739	AL3A1_MOUSE	Aldh3a1	453	Mus musculus	Aldehyde dehydrogenase, dimeric NADP-preferring	1:Experimental evidence at protein level	9.71	1.0000	0.9986	6	5	6	15	14	15	     0	     0	     0	3M(15.9949), N-term(42.0106)		
sp|P47911|RL6_MOUSE	P47911	RL6_MOUSE	Rpl6	296	Mus musculus	Large ribosomal subunit protein eL6	1:Experimental evidence at protein level	27.36	1.0000	0.9990	11	11	11	59	59	59	     0	     0	     0	9M(15.9949)		
sp|P47915|RL29_MOUSE	P47915	RL29_MOUSE	Rpl29	160	Mus musculus	Large ribosomal subunit protein eL29	1:Experimental evidence at protein level	21.88	1.0000	0.9990	4	4	4	13	13	13	     0	     0	     0			
sp|P47962|RL5_MOUSE	P47962	RL5_MOUSE	Rpl5	297	Mus musculus	Large ribosomal subunit protein uL18	1:Experimental evidence at protein level	14.48	1.0000	0.9990	5	5	5	17	17	17	     0	     0	     0			
sp|P47963|RL13_MOUSE	P47963	RL13_MOUSE	Rpl13	211	Mus musculus	Large ribosomal subunit protein eL13	1:Experimental evidence at protein level	36.02	1.0000	0.9990	9	9	9	35	35	35	     0	     0	     0	10M(15.9949)		
sp|P47964|RL36_MOUSE	P47964	RL36_MOUSE	Rpl36	105	Mus musculus	Large ribosomal subunit protein eL36	1:Experimental evidence at protein level	20.95	1.0000	0.9990	3	3	3	15	15	15	     0	     0	     0	10M(15.9949), 12M(15.9949), 3M(15.9949)		
sp|P48036|ANXA5_MOUSE	P48036	ANXA5_MOUSE	Anxa5	319	Mus musculus	Annexin A5	1:Experimental evidence at protein level	11.29	1.0000	0.9990	4	3	4	21	18	21	     0	     0	     0			
sp|P48678|LMNA_MOUSE	P48678	LMNA_MOUSE	Lmna	665	Mus musculus	Prelamin-A/C	1:Experimental evidence at protein level	34.59	1.0000	0.9990	25	25	25	116	116	116	     0	     0	     0	13M(15.9949), 7M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|P48758|CBR1_MOUSE	P48758	CBR1_MOUSE	Cbr1	277	Mus musculus	Carbonyl reductase [NADPH] 1	1:Experimental evidence at protein level	8.30	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0	N-term(42.0106)		
sp|P48997|INVO_MOUSE	P48997	INVO_MOUSE	Ivl	467	Mus musculus	Involucrin	1:Experimental evidence at protein level	20.77	1.0000	0.9990	9	9	9	63	63	63	     0	     0	     0	9M(15.9949)		
sp|P49312|ROA1_MOUSE	P49312	ROA1_MOUSE	Hnrnpa1	320	Mus musculus	Heterogeneous nuclear ribonucleoprotein A1	1:Experimental evidence at protein level	42.50	1.0000	0.9990	11	9	11	1000	992	1000	     0	     0	     0	12C(57.0214), 15M(15.9949), 17M(15.9949)		
sp|P49817|CAV1_MOUSE	P49817	CAV1_MOUSE	Cav1	178	Mus musculus	Caveolin-1	1:Experimental evidence at protein level	19.66	1.0000	0.9990	4	4	4	27	27	27	     0	     0	     0	2M(15.9949), N-term(42.0106)		
sp|P50580|PA2G4_MOUSE	P50580	PA2G4_MOUSE	Pa2g4	394	Mus musculus	Proliferation-associated protein 2G4	1:Experimental evidence at protein level	4.57	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0	4M(15.9949)		
sp|P51125|ICAL_MOUSE	P51125	ICAL_MOUSE	Cast	788	Mus musculus	Calpastatin	1:Experimental evidence at protein level	13.58	1.0000	0.9990	8	8	8	24	24	24	     0	     0	     0	4M(15.9949), 5M(15.9949), N-term(42.0106)		
sp|P51859|HDGF_MOUSE	P51859	HDGF_MOUSE	Hdgf	237	Mus musculus	Hepatoma-derived growth factor	1:Experimental evidence at protein level	11.39	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	4M(15.9949)		
sp|P51885|LUM_MOUSE	P51885	LUM_MOUSE	Lum	338	Mus musculus	Lumican	1:Experimental evidence at protein level	13.91	1.0000	0.9990	6	6	6	39	39	39	     0	     0	     0	4M(15.9949)		
sp|P52480|KPYM_MOUSE	P52480	KPYM_MOUSE	Pkm	531	Mus musculus	Pyruvate kinase PKM	1:Experimental evidence at protein level	27.31	1.0000	0.9990	11	10	11	96	91	96	     0	     0	     0	3M(15.9949)		
sp|P54320|ELN_MOUSE	P54320	ELN_MOUSE	Eln	860	Mus musculus	Elastin	1:Experimental evidence at protein level	3.72	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0			
sp|P54823|DDX6_MOUSE	P54823	DDX6_MOUSE	Ddx6	483	Mus musculus	Probable ATP-dependent RNA helicase DDX6	1:Experimental evidence at protein level	7.66	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	7M(15.9949)		
sp|P56395|CYB5_MOUSE	P56395	CYB5_MOUSE	Cyb5a	134	Mus musculus	Cytochrome b5	1:Experimental evidence at protein level	18.66	1.0000	0.9990	2	1	2	7	6	7	     0	     0	     0			
sp|P56480|ATPB_MOUSE	P56480	ATPB_MOUSE	Atp5f1b	529	Mus musculus	ATP synthase subunit beta, mitochondrial	1:Experimental evidence at protein level	19.47	1.0000	0.9990	6	6	6	128	128	128	     0	     0	     0			
sp|P57776|EF1D_MOUSE	P57776	EF1D_MOUSE	Eef1d	281	Mus musculus	Elongation factor 1-delta	1:Experimental evidence at protein level	11.39	1.0000	0.9990	3	3	3	12	12	12	     0	     0	     0	12M(15.9949), N-term(42.0106)		
sp|P57780|ACTN4_MOUSE	P57780	ACTN4_MOUSE	Actn4	912	Mus musculus	Alpha-actinin-4	1:Experimental evidence at protein level	8.99	1.0000	0.9990	7	4	5	34	12	15	     0	     0	     0	7M(15.9949), 8M(15.9949)		
sp|P58252|EF2_MOUSE	P58252	EF2_MOUSE	Eef2	858	Mus musculus	Elongation factor 2	1:Experimental evidence at protein level	12.70	1.0000	0.9990	7	6	7	98	95	98	     0	     0	     0	11C(57.0214)		
sp|P58771|TPM1_MOUSE	P58771	TPM1_MOUSE	Tpm1	284	Mus musculus	Tropomyosin alpha-1 chain	1:Experimental evidence at protein level	51.76	1.0000	0.9990	25	8	25	738	423	738	     0	     0	     0	1M(15.9949), 5M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P58774|TPM2_MOUSE	P58774	TPM2_MOUSE	Tpm2	284	Mus musculus	Tropomyosin beta chain	1:Experimental evidence at protein level	54.58	1.0000	0.9990	24	10	10	324	161	161	     0	     0	     0	10M(15.9949), 1M(15.9949), 5M(15.9949), 6M(15.9949)		
sp|P58871|TB182_MOUSE	P58871	TB182_MOUSE	Tnks1bp1	1720	Mus musculus	182 kDa tankyrase-1-binding protein	1:Experimental evidence at protein level	3.95	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0			
sp|P60335|PCBP1_MOUSE	P60335	PCBP1_MOUSE	Pcbp1	356	Mus musculus	Poly(rC)-binding protein 1	1:Experimental evidence at protein level	19.10	1.0000	0.9990	4	2	2	12	4	4	     0	     0	     0	4M(15.9949)		
sp|P60710|ACTB_MOUSE	P60710	ACTB_MOUSE	Actb	375	Mus musculus	Actin, cytoplasmic 1	1:Experimental evidence at protein level	55.73	1.0000	0.9990	27	0	27	1916	0	1916	     0	     0	     0	10M(15.9949), 13M(15.9949), 14M(15.9949), 15M(15.9949), 16C(57.0214), 16M(15.9949), 18C(57.0214), 19M(15.9949), 1C(57.0214), 1M(15.9949), 29M(15.9949), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5M(15.9949), 7M(15.9949), 8M(15.9949)		sp|P63260|ACTG_MOUSE
sp|P60843|IF4A1_MOUSE	P60843	IF4A1_MOUSE	Eif4a1	406	Mus musculus	Eukaryotic initiation factor 4A-I	1:Experimental evidence at protein level	10.59	1.0000	0.9990	3	2	3	57	38	57	     0	     0	     0	3M(15.9949)		
sp|P61089|UBE2N_MOUSE	P61089	UBE2N_MOUSE	Ube2n	152	Mus musculus	Ubiquitin-conjugating enzyme E2 N	1:Experimental evidence at protein level	13.82	1.0000	0.9988	2	2	2	6	6	6	     0	     0	     0			
sp|P61161|ARP2_MOUSE	P61161	ARP2_MOUSE	Actr2	394	Mus musculus	Actin-related protein 2	1:Experimental evidence at protein level	7.61	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	1C(57.0214)		
sp|P61255|RL26_MOUSE	P61255	RL26_MOUSE	Rpl26	145	Mus musculus	Large ribosomal subunit protein uL24	1:Experimental evidence at protein level	17.24	1.0000	0.9982	3	3	3	13	13	13	     0	     0	     0	2M(15.9949)		
sp|P61358|RL27_MOUSE	P61358	RL27_MOUSE	Rpl27	136	Mus musculus	Large ribosomal subunit protein eL27	1:Experimental evidence at protein level	13.97	1.0000	0.9981	2	2	2	5	5	5	     0	     0	     0			
sp|P61979|HNRPK_MOUSE	P61979	HNRPK_MOUSE	Hnrnpk	463	Mus musculus	Heterogeneous nuclear ribonucleoprotein K	1:Experimental evidence at protein level	21.38	1.0000	0.9990	6	6	6	214	214	214	     0	     0	     0	5M(15.9949)		
sp|P61982|1433G_MOUSE	P61982	1433G_MOUSE	Ywhag	247	Mus musculus	14-3-3 protein gamma	1:Experimental evidence at protein level	23.08	1.0000	0.9990	7	2	5	82	5	62	     0	     0	     0	4M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P62082|RS7_MOUSE	P62082	RS7_MOUSE	Rps7	194	Mus musculus	Small ribosomal subunit protein eS7	1:Experimental evidence at protein level	20.62	1.0000	0.9990	3	3	3	59	59	59	     0	     0	     0			
sp|P62242|RS8_MOUSE	P62242	RS8_MOUSE	Rps8	208	Mus musculus	Small ribosomal subunit protein eS8	1:Experimental evidence at protein level	11.06	1.0000	0.9989	3	3	3	9	9	9	     0	     0	     0			
sp|P62245|RS15A_MOUSE	P62245	RS15A_MOUSE	Rps15a	130	Mus musculus	Small ribosomal subunit protein uS8	1:Experimental evidence at protein level	6.92	1.0000	0.9989	1	1	1	11	11	11	     0	     0	     0	1M(15.9949)		
sp|P62259|1433E_MOUSE	P62259	1433E_MOUSE	Ywhae	255	Mus musculus	14-3-3 protein epsilon	1:Experimental evidence at protein level	27.06	1.0000	0.9990	6	4	6	65	45	65	     0	     0	     0	3C(57.0214), 4C(57.0214)		
sp|P62264|RS14_MOUSE	P62264	RS14_MOUSE	Rps14	151	Mus musculus	Small ribosomal subunit protein uS11	1:Experimental evidence at protein level	16.56	1.0000	0.9990	3	3	3	9	9	9	     0	     0	     0			
sp|P62267|RS23_MOUSE	P62267	RS23_MOUSE	Rps23	143	Mus musculus	Small ribosomal subunit protein uS12	1:Experimental evidence at protein level	13.29	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0			
sp|P62274|RS29_MOUSE	P62274	RS29_MOUSE	Rps29	56	Mus musculus	Small ribosomal subunit protein uS14	1:Experimental evidence at protein level	33.93	1.0000	0.9990	2	2	2	20	20	20	     0	     0	     0			
sp|P62281|RS11_MOUSE	P62281	RS11_MOUSE	Rps11	158	Mus musculus	Small ribosomal subunit protein uS17	1:Experimental evidence at protein level	28.48	1.0000	0.9990	7	7	7	47	47	47	     0	     0	     0	N-term(42.0106)		
sp|P62317|SMD2_MOUSE	P62317	SMD2_MOUSE	Snrpd2	118	Mus musculus	Small nuclear ribonucleoprotein Sm D2	1:Experimental evidence at protein level	24.58	1.0000	0.9990	2	2	2	20	20	20	     0	     0	     0	3M(15.9949)		
sp|P62702|RS4X_MOUSE	P62702	RS4X_MOUSE	Rps4x	263	Mus musculus	Small ribosomal subunit protein eS4	1:Experimental evidence at protein level	14.07	1.0000	0.9989	4	4	4	24	24	24	     0	     0	     0	3M(15.9949)		
sp|P62717|RL18A_MOUSE	P62717	RL18A_MOUSE	Rpl18a	176	Mus musculus	Large ribosomal subunit protein eL20	1:Experimental evidence at protein level	14.77	1.0000	0.9965	3	3	3	18	18	18	     0	     0	     0			
sp|P62737|ACTA_MOUSE	P62737	ACTA_MOUSE	Acta2	377	Mus musculus	Actin, aortic smooth muscle	1:Experimental evidence at protein level	54.11	1.0000	0.9990	29	0	10	2232	0	577	     0	     0	     0	14M(15.9949), 15M(15.9949)		
sp|P62751|RL23A_MOUSE	P62751	RL23A_MOUSE	Rpl23a	156	Mus musculus	Large ribosomal subunit protein uL23	1:Experimental evidence at protein level	21.15	1.0000	0.9990	2	2	2	30	30	30	     0	     0	     0	19M(15.9949)		
sp|P62806|H4_MOUSE	P62806	H4_MOUSE	H4c1	103	Mus musculus	Histone H4	1:Experimental evidence at protein level	64.08	1.0000	0.9990	11	11	11	323	323	323	     0	     0	     0	5M(15.9949), 6M(15.9949)		
sp|P62821|RAB1A_MOUSE	P62821	RAB1A_MOUSE	Rab1A	205	Mus musculus	Ras-related protein Rab-1A	1:Experimental evidence at protein level	18.05	1.0000	0.9990	2	2	2	29	29	29	     0	     0	     0	1M(15.9949)		
sp|P62827|RAN_MOUSE	P62827	RAN_MOUSE	Ran	216	Mus musculus	GTP-binding nuclear protein Ran	1:Experimental evidence at protein level	24.54	1.0000	0.9990	4	4	4	24	24	24	     0	     0	     0			
sp|P62835|RAP1A_MOUSE	P62835	RAP1A_MOUSE	Rap1a	184	Mus musculus	Ras-related protein Rap-1A	1:Experimental evidence at protein level	14.13	1.0000	0.9990	3	0	3	5	0	5	     0	     0	     0			sp|Q99JI6|RAP1B_MOUSE
sp|P62852|RS25_MOUSE	P62852	RS25_MOUSE	Rps25	125	Mus musculus	Small ribosomal subunit protein eS25	1:Experimental evidence at protein level	13.60	1.0000	0.9988	2	2	2	5	5	5	     0	     0	     0			
sp|P62862|RS30_MOUSE	P62862	RS30_MOUSE	Fau	133	Mus musculus	Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein	1:Experimental evidence at protein level	8.27	1.0000	0.9990	2	2	2	22	22	22	     0	     0	     0			
sp|P62900|RL31_MOUSE	P62900	RL31_MOUSE	Rpl31	125	Mus musculus	Large ribosomal subunit protein eL31	1:Experimental evidence at protein level	13.60	1.0000	0.9962	2	2	2	5	5	5	     0	     0	     0			
sp|P62908|RS3_MOUSE	P62908	RS3_MOUSE	Rps3	243	Mus musculus	Small ribosomal subunit protein uS3	1:Experimental evidence at protein level	12.35	1.0000	0.9990	2	2	2	12	12	12	     0	     0	     0			
sp|P62911|RL32_MOUSE	P62911	RL32_MOUSE	Rpl32	135	Mus musculus	Large ribosomal subunit protein eL32	1:Experimental evidence at protein level	22.96	1.0000	0.9990	3	2	3	7	4	7	     0	     0	     0	7M(15.9949)		
sp|P62918|RL8_MOUSE	P62918	RL8_MOUSE	Rpl8	257	Mus musculus	Large ribosomal subunit protein uL2	1:Experimental evidence at protein level	21.79	1.0000	0.9990	7	7	7	36	36	36	     0	     0	     0			
sp|P62960|YBOX1_MOUSE	P62960	YBOX1_MOUSE	Ybx1	322	Mus musculus	Y-box-binding protein 1	1:Experimental evidence at protein level	17.70	1.0000	0.9990	3	2	3	7	6	7	     0	     0	     0			
sp|P63017|HSP7C_MOUSE	P63017	HSP7C_MOUSE	Hspa8	646	Mus musculus	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	40.71	1.0000	0.9990	27	20	27	213	188	213	     0	     0	     0	10M(15.9949), 14C(57.0214), 16C(57.0214), 16M(15.9949), 1M(15.9949), 5M(15.9949), N-term(42.0106)		
sp|P63038|CH60_MOUSE	P63038	CH60_MOUSE	Hspd1	573	Mus musculus	60 kDa heat shock protein, mitochondrial	1:Experimental evidence at protein level	19.20	1.0000	0.9990	8	8	8	378	378	378	     0	     0	     0	13C(57.0214), 18M(15.9949), 3M(15.9949), 4M(15.9949)		
sp|P63101|1433Z_MOUSE	P63101	1433Z_MOUSE	Ywhaz	245	Mus musculus	14-3-3 protein zeta/delta	1:Experimental evidence at protein level	28.57	1.0000	0.9990	8	5	5	73	16	16	     0	     0	     0	9C(57.0214), N-term(42.0106)		
sp|P63158|HMGB1_MOUSE	P63158	HMGB1_MOUSE	Hmgb1	215	Mus musculus	High mobility group protein B1	1:Experimental evidence at protein level	27.44	1.0000	0.9990	4	4	4	30	30	30	     0	     0	     0	10C(57.0214), 4M(15.9949)		
sp|P63242|IF5A1_MOUSE	P63242	IF5A1_MOUSE	Eif5a	154	Mus musculus	Eukaryotic translation initiation factor 5A-1	1:Experimental evidence at protein level	10.39	1.0000	0.9988	2	1	2	6	1	6	     0	     0	     0	4M(15.9949)		
sp|P63325|RS10_MOUSE	P63325	RS10_MOUSE	Rps10	165	Mus musculus	Small ribosomal subunit protein eS10	1:Experimental evidence at protein level	10.91	1.0000	0.9979	2	2	2	9	9	9	     0	     0	     0			
